Created,LevelID,Name,DeviceID,Reason,Value,lat,lng,Status
2021-12-08T19:04:10.286Z,LUMS_Unit19,AQI,LUMS_ecfabcc01a36_AQI,Dust2.5,8,31.407963,74.255806,1
2021-12-08T19:03:59.787Z,LUMS_Unit19,AQI,LUMS_ecfabcc01a36_AQI,Dust2.5,3,31.407981,74.255759,1
2021-12-08T19:03:40.622Z,LUMS_Unit19,AQI,LUMS_ecfabcc01a36_AQI,Dust2.5,5,31.407981,74.255759,1
2021-12-08T19:04:09.436Z,LUMS_Unit19,Dust(pm 1.0),LUMS_ecfabcc01a36_Dust1.0,Change,1,31.407963,74.255806,1
2021-12-08T19:03:38.471Z,LUMS_Unit19,Dust(pm 1.0),LUMS_ecfabcc01a36_Dust1.0,Change,0.2,31.407981,74.255759,1
2021-12-08T19:04:09.936Z,LUMS_Unit19,Dust(pm 10.0),LUMS_ecfabcc01a36_Dust10.0,Change,2,31.407963,74.255806,1
2021-12-08T19:03:59.272Z,LUMS_Unit19,Dust(pm 10.0),LUMS_ecfabcc01a36_Dust10.0,Change,0.8,31.407981,74.255759,1
2021-12-08T19:03:48.948Z,LUMS_Unit19,Dust(pm 10.0),LUMS_ecfabcc01a36_Dust10.0,Change,0,31.407981,74.255759,1
2021-12-08T19:03:38.938Z,LUMS_Unit19,Dust(pm 10.0),LUMS_ecfabcc01a36_Dust10.0,Change,1.2,31.407981,74.255759,1
2021-12-08T19:04:09.683Z,LUMS_Unit19,Dust(pm 2.5),LUMS_ecfabcc01a36_Dust2.5,Change,2,31.407963,74.255806,1
2021-12-08T19:03:59.035Z,LUMS_Unit19,Dust(pm 2.5),LUMS_ecfabcc01a36_Dust2.5,Change,0.8,31.407981,74.255759,1
2021-12-08T19:03:48.696Z,LUMS_Unit19,Dust(pm 2.5),LUMS_ecfabcc01a36_Dust2.5,Change,0,31.407981,74.255759,1
2021-12-08T19:03:38.749Z,LUMS_Unit19,Dust(pm 2.5),LUMS_ecfabcc01a36_Dust2.5,Change,1.2,31.407981,74.255759,1
